Fibonacci: Gamma-Code

1: 100        
2: 1100       
3: 1101       
5: 111001     
8: 11110000   
13: 11110101   
21: 1111100101 
34: 111111000010 
55: 111111010111 
89: 11111110011001 
144: 1111111100010000 
233: 1111111101101001 
377: 111111111001111001 
610: 11111111110001100010 
987: 11111111110111011011 
1597: 1111111111101000111101 
2584: 111111111111001000011000 
4181: 11111111111110000001010101 
6765: 11111111111110101001101101 
10946: 1111111111111100101011000010 
17711: 111111111111111000010100101111 
28657: 111111111111111010111111110001 
46368: 11111111111111110011010100100000 
75025: 1111111111111111100010010100010001 
121393: 1111111111111111101101101000110001 
196418: 111111111111111111001111111101000010 
317811: 11111111111111111110001101100101110011 
514229: 11111111111111111110111101100010110101 
832040: 1111111111111111111101001011001000101000 
1346269: 111111111111111111111001001000101011011101 
2178309: 11111111111111111111110000010011110100000101 
3524578: 11111111111111111111110101011100011111100010 
5702887: 1111111111111111111111100101110000010011100111 
9227465: 111111111111111111111111000011001100110011001001 
14930352: 111111111111111111111111011000111101000110110000 
24157817: 11111111111111111111111110011100001001111001111001 
39088169: 1111111111111111111111111100010101000111000000101001 
63245986: 1111111111111111111111111101110001010000111010100010 
102334155: 111111111111111111111111111010000110010111111011001011 
165580141: 11111111111111111111111111110001110111101000110101101101 
267914296: 11111111111111111111111111110111111110000000110000111000 
433494437: 1111111111111111111111111111101001110101101001100110100101 
701408733: 111111111111111111111111111111001001110011101010010111011101 
1134903170: 11111111111111111111111111111110000011101001010011111110000010 
1836311903: 11111111111111111111111111111110101101011100111110010101011111 
2971215073: 1111111111111111111111111111111100110001000110010010010011100001 
4807526976: 111111111111111111111111111111111000011110100011010000101001000000 
7778742049: 111111111111111111111111111111111011001111101001100010111100100001 
12586269025: 11111111111111111111111111111111110011101110001100110011100101100001 
